"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8544","Create order","","2026-01-09","failed","2026-01-09","Order flow","orderValidation.spec.js","",""
"","1102","Create a order successfully for test data 7","","2026-01-06","passed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","869","Create a order successfully for test data 8","","2026-01-06","passed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","1077","Create a order successfully for test data 6","","2026-01-06","passed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","1","Order creation - Validate the orderID","","2026-01-09","passed","2026-01-09","Order flow","orderValidation.spec.js","",""
"","709","Create a order successfully for test data 1","","2026-01-06","passed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","667","Create a order successfully for test data 2","","2026-01-06","passed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","667","Get the Access token","","2026-01-09","passed","2026-01-09","Access Token Tests","paypalIndex.spec.js","",""
"","458","Create a order successfully for test data 10","","2026-01-06","failed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","912","Create a order successfully for test data 4","","2026-01-06","passed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","905","Create a order successfully for test data 3","","2026-01-06","passed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","1311","Create a order successfully for test data 5","","2026-01-06","passed","2026-01-06","Order flow","orderValidation.spec.js","",""
"","1","Is Access Token Empty or Null","","2026-01-09","passed","2026-01-09","Access Token Tests","paypalIndex.spec.js","",""
"","508","Create a order successfully for test data 9","","2026-01-06","failed","2026-01-06","Order flow","orderValidation.spec.js","",""
